label,name,id,abstract,substitution_group,type,period,balance,nillable,facets,documentation
12-month expected credit losses [member],TwelvemonthExpectedCreditLossesMember,ifrs-full_TwelvemonthExpectedCreditLossesMember,true,xbrli:item,dtr-types:domainItemType,duration,,true,length=0,This member stands for the portion of lifetime expected credit losses that represent the expected credit losses that result from default events on a financial instrument that are possible within the 12 months after the reporting date. [Refer: Type of measurement of expected credit losses [member]; Lifetime expected credit losses [member]]
Abnormally large changes in asset prices or foreign exchange rates [member],AbnormallyLargeChangesInAssetPricesOrForeignExchangeRatesMember,ifrs-full_AbnormallyLargeChangesInAssetPricesOrForeignExchangeRatesMember,true,xbrli:item,dtr-types:domainItemType,duration,,true,length=0,This member stands for abnormally large changes in asset prices or foreign exchange rates.
Accounting estimates [axis],AccountingEstimatesAxis,ifrs-full_AccountingEstimatesAxis,true,xbrldt:dimensionItem,xbrli:stringItemType,duration,,true,,The axis of a table defines the relationship between the members in the table and the line items or concepts that complete the table.
Accounting estimates [member],AccountingEstimatesMember,ifrs-full_AccountingEstimatesMember,true,xbrli:item,dtr-types:domainItemType,duration,,true,length=0,"Expiry date 2023-01-01: This member stands for an asset, a liability or a periodic consumption of an asset, subject to adjustments that result from the assessment of the present status of, and expected future benefits and obligations associated with, assets and liabilities. It also represents the standard value for the 'Accounting estimates' axis if no other member is used.
Effective 2023-01-01: This member stands for monetary amounts in financial statements that are subject to measurement uncertainty. It also represents the standard value for the 'Accounting estimates' axis if no other member is used."
Accounting profit,AccountingProfit,ifrs-full_AccountingProfit,false,xbrli:item,xbrli:monetaryItemType,duration,credit,true,,The amount of profit (loss) for a period before deducting tax expense. [Refer: Profit (loss)]
Accruals,Accruals,ifrs-full_Accruals,false,xbrli:item,xbrli:monetaryItemType,instant,credit,true,,"The amount of liabilities to pay for goods or services that have been received or supplied but have not been paid, invoiced or formally agreed with the supplier, including amounts due to employees."
Accruals and deferred income including contract liabilities,AccrualsAndDeferredIncomeIncludingContractLiabilities,ifrs-full_AccrualsAndDeferredIncomeIncludingContractLiabilities,false,xbrli:item,xbrli:monetaryItemType,instant,credit,true,,"The amount of accruals and deferred income, including contract liabilities. [Refer: Accruals; Deferred income including contract liabilities]"
Accruals and deferred income including contract liabilities [abstract],AccrualsAndDeferredIncomeIncludingContractLiabilitiesAbstract,ifrs-full_AccrualsAndDeferredIncomeIncludingContractLiabilitiesAbstract,true,xbrli:item,xbrli:stringItemType,duration,,true,,
Accruals classified as current,AccrualsClassifiedAsCurrent,ifrs-full_AccrualsClassifiedAsCurrent,false,xbrli:item,xbrli:monetaryItemType,instant,credit,true,,The amount of accruals classified as current. [Refer: Accruals]
Accruals classified as non-current,AccrualsClassifiedAsNoncurrent,ifrs-full_AccrualsClassifiedAsNoncurrent,false,xbrli:item,xbrli:monetaryItemType,instant,credit,true,,The amount of accruals classified as non-current. [Refer: Accruals]
Accrued income including contract assets,AccruedIncomeIncludingContractAssets,ifrs-full_AccruedIncomeIncludingContractAssets,false,xbrli:item,xbrli:monetaryItemType,instant,debit,true,,"The amount of assets representing income that has been earned but is not yet a receivable, including contract assets. [Refer: Contract assets]"
Accrued income including contract assets [abstract],AccruedIncomeIncludingContractAssetsAbstract,ifrs-full_AccruedIncomeIncludingContractAssetsAbstract,true,xbrli:item,xbrli:stringItemType,duration,,true,,
Accrued income other than contract assets,AccruedIncomeOtherThanContractAssets,ifrs-full_AccruedIncomeOtherThanContractAssets,false,xbrli:item,xbrli:monetaryItemType,instant,debit,true,,"The amount of assets representing income that has been earned but is not yet a receivable, other than contract assets. [Refer: Contract assets]"
Accumulated depreciation and amortisation [member],AccumulatedDepreciationAndAmortisationMember,ifrs-full_AccumulatedDepreciationAndAmortisationMember,true,xbrli:item,dtr-types:domainItemType,duration,,true,length=0,This member stands for accumulated depreciation and amortisation. [Refer: Depreciation and amortisation expense]
"Accumulated depreciation, amortisation and impairment [member]",AccumulatedDepreciationAmortisationAndImpairmentMember,ifrs-full_AccumulatedDepreciationAmortisationAndImpairmentMember,true,xbrli:item,dtr-types:domainItemType,duration,,true,length=0,"This member stands for accumulated depreciation, amortisation and impairment. [Refer: Impairment loss; Depreciation and amortisation expense]"
"Accumulated fair value hedge adjustment on hedged item included in carrying amount, assets",AccumulatedFairValueHedgeAdjustmentOnHedgedItemIncludedInCarryingAmountAssets,ifrs-full_AccumulatedFairValueHedgeAdjustmentOnHedgedItemIncludedInCarryingAmountAssets,false,xbrli:item,xbrli:monetaryItemType,instant,debit,true,,"The accumulated amount of fair value hedge adjustment on a hedged item that is included in the carrying amount of the hedged item, recognised in the statement of financial position as an asset. [Refer: Hedged items [member]]"
